include,week_of,dates,category,event,impact,outlet,srcdesc,url,srcdate
,"Jul 20, 2026",Jul 20,,,,Politico,Nancy Mace won’t run for Lindsey Graham’s Senate seat,https://www.politico.com/news/2026/07/20/nancy-mace-not-run-for-senate-01005210,"Jul 20, 2026"
,"Jul 20, 2026",Jul 20,,,,Politico,LA’s next mega-event test: The coming climate Olympics,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/los-angeles-olympics-legacy-climate-transit-01004649,"Jul 20, 2026"
,"Jul 20, 2026",Jul 20,,,,NBC News,"Trump imposes 50% tariffs on dairy, alcohol, and cars from Canada",https://www.nbcnews.com/video/trump-imposes-50-tariffs-on-dairy-alcohol-and-cars-from-canada-266971717891,"Jul 20, 2026"
,"Jul 20, 2026",Jul 20,,,,ABC News,"The men behind Trump's $3.47 gas: An NFL coach, a GOP fundraiser and two New Jersey brothers",https://abcnews.com/Politics/wireStory/men-trumps-347-gas-nfl-coach-gop-fundraiser-134918715,"Jul 20, 2026"
,"Jul 20, 2026",Jul 21,,,,Politico,South Carolina Senate poll shows surprising frontrunner: Trey Gowdy,https://www.politico.com/news/2026/07/21/south-carolina-senate-poll-trey-gowdy-graham-01006741,"Jul 21, 2026"
,"Jul 20, 2026",Jul 21,,,,Politico,"There’s a power struggle brewing in South Carolina, and Trump might not win",https://www.politico.com/news/2026/07/21/south-carolina-trump-graham-test-01005834,"Jul 21, 2026"
,"Jul 20, 2026",Jul 21,,,,ABC News,Arson charge lodged against ex-Army soldier in fiery attack on Manhattan federal building,https://abcnews.com/Politics/wireStory/arson-charge-lodged-army-soldier-fiery-attack-manhattan-134964691,"Jul 21, 2026"
,"Jul 20, 2026",Jul 21,,,,ABC News,Trump says direct US-Lebanon flights could resume for first time in more than 40 years,https://abcnews.com/Politics/wireStory/trump-direct-us-lebanon-flights-resume-time-40-134962506,"Jul 21, 2026"
,"Jul 20, 2026",Jul 21,,,,ABC News,US civil rights agency moves to end demographic data collection after 60 years,https://abcnews.com/Politics/wireStory/us-civil-rights-agency-moves-end-demographic-data-134959092,"Jul 21, 2026"
,"Jul 20, 2026",Jul 21,,,,ABC News,Senate panel advances Jay Clayton's nomination to lead US intelligence agencies,https://abcnews.com/Politics/wireStory/senate-panel-advances-jay-claytons-nomination-lead-us-134962422,"Jul 21, 2026"
,"Jul 20, 2026",Jul 22,,,,Politico,‘It’s a stone around your neck’: Arizona Republicans once again nominate 2020 election deniers,https://www.politico.com/news/2026/07/22/arizona-republicans-elect-2020-deniers-trump-01007511,"Jul 22, 2026"
,"Jul 20, 2026",Jul 22,,,,Politico,Trump-backed Jay Feely wins GOP primary in Arizona’s battleground 1st District,https://www.politico.com/news/2026/07/21/feely-wins-arizona-house-primary-01007468,"Jul 22, 2026"
,"Jul 20, 2026",Jul 22,,,,NBC News,‘Off the charts’: Secret Service describes rising threats to protectees,https://www.nbcnews.com/politics/national-security/-charts-secret-service-describes-rising-threats-protectees-rcna588819,"Jul 22, 2026"
,"Jul 20, 2026",Jul 22,,,,NBC News,Redistricting pushes incumbents toward the exits: From the Politics Desk,https://www.nbcnews.com/politics/politics-news/redistricting-pushes-incumbents-exits-politics-desk-rcna588800,"Jul 22, 2026"
,"Jul 20, 2026",Jul 22,,,,NBC News,Trump hypes Mike Collins’ Senate campaign at Georgia rally,https://www.nbcnews.com/politics/2026-election/trump-hypes-mike-collins-senate-campaign-georgia-rally-rcna588685,"Jul 22, 2026"
,"Jul 20, 2026",Jul 22,,,,NBC News,U.S. signs landmark nuclear agreement with Saudi Arabia,https://www.nbcnews.com/world/saudi-arabia/trump-us-saudi-nuclear-deal-uranium-enrichment-iran-war-israel-rcna588660,"Jul 22, 2026"
,"Jul 20, 2026",Jul 22,,,,NBC News,Trump attends dignified transfer of 4 service members killed in Iran attacks,https://www.nbcnews.com/politics/white-house/trump-attends-dignified-transfer-4-service-members-killed-iran-attacks-rcna588737,"Jul 22, 2026"
,"Jul 20, 2026",Jul 22,,,,The Guardian,Is US Congress finally on the verge of a change? – Stateside with Kai and Carter,https://www.theguardian.com/us-news/video/2026/jul/22/congress-change-stateside-podcast,"Jul 22, 2026"
