include,week_of,dates,category,event,impact,outlet,srcdesc,url,srcdate
,"Jul 27, 2026",Aug 1,,,,NPR,Bill championed by late Senator Lindsey Graham seeks to increase sanctions on Russia,https://www.npr.org/2026/08/01/nx-s1-5913204/bill-championed-by-late-senator-lindsey-graham-seeks-to-increase-sanctions-on-russia,"Aug 1, 2026"
Y,"Jul 27, 2026",Aug 1,,,,NPR,Tuesday referendum tests GOP push to restrict citizen-led ballot initiatives,https://www.npr.org/2026/08/01/nx-s1-5911949/tuesday-referendum-tests-gop-push-to-restrict-citizen-led-ballot-initiatives,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,NPR,Week in Politics: Todd Blanche nomination; Michigan's Democratic Senate shakeup,https://www.npr.org/2026/08/01/nx-s1-5912035/week-in-politics-todd-blanche-nomination-michigans-democratic-senate-shakeup,"Aug 1, 2026"
Y,"Jul 27, 2026",Aug 1,,,,NPR,"More than 25,000 children lose previous legal protections, as federal contract ends",https://www.npr.org/2026/08/01/nx-s1-5913679/immgirant-children-lawyers-trump-administration,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,NPR,"Staff Sgt. Rampersad, 28, who always knew she wanted to serve, is laid to rest",https://www.npr.org/2026/08/01/nx-s1-5914671/iran-military-death-rampersad-funeral,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,NPR,For sale: early access to Trump's Truth Social posts,https://www.npr.org/2026/08/01/nx-s1-5912219/trump-truth-social-access-insider-trading,"Aug 1, 2026"
Y,"Jul 27, 2026",Aug 1,,,,NBC News,Trump rebukes Jeanine Pirro over decision to drop Reflecting Pool vandalism case,https://www.nbcnews.com/politics/trump-administration/trump-rebukes-jeanine-pirro-decision-drop-reflecting-pool-vandalism-ca-rcna590408,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,NBC News,Troy Jackson launches first general election ad in Maine Senate race,https://www.nbcnews.com/politics/2028-election/troy-jackson-launches-general-election-ad-maine-senate-susan-collins-rcna590380,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,NBC News,Trump says he’ll revive ‘anti-weaponization’ fund if Blanche’s nomination for AG is blocked,https://www.nbcnews.com/politics/congress/trump-revive-anti-weaponization-blanche-attorney-general-cornyn-tillis-rcna590370,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,The Guardian,The Democrats have one last chance to halt the erosion of US democracy – and it’s less than 100 days away | Timothy Garton Ash,https://www.theguardian.com/commentisfree/2026/aug/01/democrats-donald-trump-us-midterms,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,The Guardian,China’s tech advances are causing chaos from Silicon Valley to the White House,https://www.theguardian.com/technology/2026/aug/01/china-silicon-valley-white-house,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,The Guardian,"Laura Loomer, Lindsey Graham and the deepening Iran crisis: what’s behind Trump’s reset with Zelenskyy?",https://www.theguardian.com/us-news/2026/aug/01/ukraine-zelenskyy-trump-iran,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,CBS News,8/1: CBS Weekend News,https://www.cbsnews.com/video/080126-cbs-weekend-news/,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,CBS News,"Trump will push for ""anti-weaponization fund"" if Blanche not confirmed, he says",https://www.cbsnews.com/news/donald-trump-todd-blanche-attorney-general-confirmation-tillis-cornyn-anti-weaponization-fund/,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,CBS News,"U.S., Israel preparing to bombard energy-related targets in Iran, sources say",https://www.cbsnews.com/news/us-israel-iran-war-energy-related-targets-trump/,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,CBS News,8/1: CBS Saturday Morning,https://www.cbsnews.com/video/080126-saturday-morning/,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,ABC News,Trump's housing regulator Bill Pulte says he'll hand over intel reins to Jay Clayton on Monday,https://abcnews.com/Politics/wireStory/trumps-housing-regulator-bill-pulte-hell-hand-intel-135294905,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,ABC News,Trump blasts Pirro after she refutes his claim that Reflecting Pool was damaged by vandals,https://abcnews.com/Politics/wireStory/trump-blasts-pirro-after-refutes-claim-reflecting-pool-135291574,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,ABC News,Maryland governor 'very concerned' Trump will interfere in midterms,https://abcnews.com/Politics/wireStory/maryland-gov-wes-moore-concerned-trump-interfere-midterm-135283301,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,PBS NewsHour,Darline Graham promotes Trump's agenda in her political debut ahead of special Senate primary,https://www.pbs.org/newshour/politics/darline-graham-promotes-trumps-agenda-in-her-political-debut-ahead-of-special-senate-primary,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,PBS NewsHour,Trump's threat to push ahead on settlement fund injects new uncertainty into attorney general talks,https://www.pbs.org/newshour/politics/trumps-threat-to-push-ahead-on-settlement-fund-injects-new-uncertainty-into-attorney-general-talks,"Aug 1, 2026"
,"Jul 27, 2026",Aug 1,,,,PBS NewsHour,"U.S. will make visa bond program permanent, affecting mostly African countries",https://www.pbs.org/newshour/politics/u-s-will-make-visa-bond-program-permanent-affecting-mostly-african-countries,"Aug 1, 2026"
,"Jul 27, 2026",Aug 2,,,,NPR,"Trump says he's cancelling Iran strikes, deal pending",https://www.npr.org/2026/08/02/nx-s1-5917113/trump-says-hes-cancelling-iran-strikes-deal-pending,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,NBC News,Truth Social launches service selling faster access to Trump posts,https://www.nbcnews.com/politics/donald-trump/truth-social-launches-service-selling-faster-access-trump-posts-rcna590419,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,NBC News,"Wes Moore & Kevin Stitt say civility can win general elections, but primaries are the problem",https://www.nbcnews.com/meet-the-press/video/wes-moore-kevin-stitt-say-civility-can-win-general-elections-but-primaries-are-the-problem-267645509744,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,The Guardian,The pro-Israel lobby has swayed US presidents since Truman. It must end with Trump | Ian Lustick and Eli Clifton,https://www.theguardian.com/us-news/ng-interactive/2026/aug/02/pro-israel-lobby-presidents,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,The Guardian,‘He’s a narcissist’: could Idaho killer Bryan Kohberger win a new trial?,https://www.theguardian.com/us-news/2026/aug/02/bryan-kohberger-idaho-killer-guilty-plea-trial,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,The Guardian,Democrats face most contentious – and crucial – test yet with Michigan primary,https://www.theguardian.com/us-news/2026/aug/02/michigan-primary-democrats,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,The Guardian,Family to sue after woman released from ICE custody froze to death,https://www.theguardian.com/us-news/2026/aug/02/ice-death-pittsburgh-daphy-michel-haiti,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,The Guardian,‘She showed love for everyone’: how did Daphy Michel end up frozen to death in a Pittsburgh bus shelter?,https://www.theguardian.com/us-news/2026/aug/02/ice-death-daphy-michel-pittsburgh-haiti,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,CBS News,What's behind the $4B funding cut for California's high-speed rail?,https://www.cbsnews.com/news/california-high-speed-rail-train-procurement-newsom/,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,CBS News,"Trump says deal to end Iran war may be imminent, agrees to ""cancel the attack""",https://www.cbsnews.com/news/trump-iran-attack-framework-deal-war/,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,CBS News,Tensions rise in Iran war with threat of new strikes,https://www.cbsnews.com/video/tensions-rise-in-iran-war-with-threat-of-new-strikes/,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,CBS News,"DOJ to dismiss Reflecting Pool vandalism charges, citing ""botched installation""",https://www.cbsnews.com/news/doj-dismiss-david-hearn-reflecting-pool-vandalism-charges/,"Aug 2, 2026"
,"Jul 27, 2026",Aug 2,,,,CBS News,Trump blasts Pirro's decision to drop charges in Reflecting Pool case,https://www.cbsnews.com/video/trump-blasts-pirros-decision-in-reflecting-pool-case/,"Aug 2, 2026"
,"Jul 27, 2026",Jul 27,,,,ABC News,Trump demands Senate cancel August break until it passes voting bill,https://abcnews.com/Politics/wireStory/trump-demands-senate-cancel-august-break-passes-voting-135124466,"Jul 27, 2026"
,"Jul 27, 2026",Jul 27,,,,ABC News,Trump's border czar says vetting of ICE officer is under internal review after Maine shooting,https://abcnews.com/Politics/wireStory/trumps-border-czar-vetting-ice-officer-internal-review-135104924,"Jul 27, 2026"
,"Jul 27, 2026",Jul 27,,,,ABC News,US appeals court upholds injunction that blocks Trump's order to create a federal voter list,https://abcnews.com/Politics/wireStory/us-appeals-court-upholds-injunction-blocks-trumps-order-135102230,"Jul 27, 2026"
,"Jul 27, 2026",Jul 28,,,,Politico,‘I've never lost:’ Rahm Emanuel makes his case for the White House,https://www.politico.com/video/2026/07/27/ive-never-lost-rahm-emanuel-makes-his-case-for-the-white-house-2123533,"Jul 28, 2026"
,"Jul 27, 2026",Jul 28,,,,ABC News,Lindsey Graham's funeral to draw Trump remarks and world leaders in Washington,https://abcnews.com/Politics/wireStory/lindsey-grahams-funeral-draw-trump-remarks-world-leaders-135141369,"Jul 28, 2026"
Y,"Jul 27, 2026",Jul 29,,,,NBC News,U.S. strikes Iran after Trump reportedly issues menacing new threat,https://www.nbcnews.com/world/middle-east/us-thwarts-iranian-missile-attack-launches-strikes-saudi-arabia-rcna589773,"Jul 29, 2026"
,"Jul 27, 2026",Jul 29,,,,NBC News,Senate committee postpones vote on Todd Blanche’s nomination over disagreements with GOP senators,https://www.nbcnews.com/politics/justice-department/trumps-irs-carveout-threatens-hold-todd-blanche-attorney-general-nomin-rcna589617,"Jul 29, 2026"
,"Jul 27, 2026",Jul 29,,,,NBC News,Trump announces plans for sprawling Dulles Airport makeover,https://www.nbcnews.com/politics/donald-trump/trump-announce-renovation-plans-dulles-airport-makeover-rcna589828,"Jul 29, 2026"
,"Jul 27, 2026",Jul 29,,,,NBC News,James Comey legal team argues DOJ’s seashells case erodes ‘bedrock’ principles,https://www.nbcnews.com/politics/justice-department/james-comey-legal-team-argues-dojs-seashells-case-erodes-bedrock-princ-rcna589659,"Jul 29, 2026"
Y,"Jul 27, 2026",Jul 29,,,,NBC News,Trump asks Supreme Court to overturn $83.3 million award in E. Jean Carroll defamation case,https://www.nbcnews.com/politics/donald-trump/trump-asks-supreme-court-overturn-833-million-award-e-jean-carroll-def-rcna589762,"Jul 29, 2026"
,"Jul 27, 2026",Jul 29,,,,The Guardian,Trump has singled out us Canadians for special treatment in his tariff war – there is no choice but to get nasty | Matt Gurney,https://www.theguardian.com/commentisfree/2026/jul/29/donald-trump-canada-tariff-war-white-house-mark-carney-us-president,"Jul 29, 2026"
,"Jul 27, 2026",Jul 29,,,,The Guardian,"How free childcare started winning US elections: ‘Overnight, people realized how essential it was’",https://www.theguardian.com/us-news/2026/jul/29/free-childcare-wins-midterm-election-votes,"Jul 29, 2026"
,"Jul 27, 2026",Jul 29,,,,CBS News,"Fauci diaries, released by Sen. Paul, touch on COVID origins, Trump",https://www.cbsnews.com/news/anthony-fauci-rand-paul-diary-release/,"Jul 29, 2026"
,"Jul 27, 2026",Jul 30,,,,Politico,Poll: Trump’s MAGA voters would stick by a candidate through the most serious of scandals,https://www.politico.com/news/2026/07/30/maga-trump-scandal-2026-elections-01013859,"Jul 30, 2026"
,"Jul 27, 2026",Jul 30,,,,NBC News,Democrat Mandela Barnes drops out of Wisconsin governor’s race,https://www.nbcnews.com/politics/2026-election/democrat-mandela-barnes-drops-wisconsin-governors-race-rcna590096,"Jul 30, 2026"
,"Jul 27, 2026",Jul 30,,,,NBC News,States push DHS to explain its noncitizen voter claims,https://www.nbcnews.com/politics/elections/states-push-dhs-explain-noncitizen-voter-claims-rcna589999,"Jul 30, 2026"
,"Jul 27, 2026",Jul 30,,,,NBC News,Trump threatens to pull Todd Blanche’s AG nomination until after GOP holdouts leave office,https://www.nbcnews.com/politics/donald-trump/trump-threatens-pull-todd-blanches-ag-nomination-gop-holdouts-leave-of-rcna590054,"Jul 30, 2026"
,"Jul 27, 2026",Jul 30,,,,NBC News,"‘Alien Terrorist Removal Court,’ created in 1996, holds first-ever hearing",https://www.nbcnews.com/politics/justice-department/doj-holds-first-ever-hearing-alien-terrorist-removal-court-created-199-rcna589987,"Jul 30, 2026"
,"Jul 27, 2026",Jul 30,,,,PBS NewsHour,Blanche's AG nomination on hold over opposition to DOJ's 'anti-weaponization fund',https://www.pbs.org/newshour/show/blanches-ag-nomination-on-hold-over-opposition-to-dojs-anti-weaponization-fund,"Jul 30, 2026"
,"Jul 27, 2026",Jul 30,,,,PBS NewsHour,Missouri couple murdered in Guatemala after husband was deported,https://www.pbs.org/newshour/show/missouri-couple-murdered-in-guatemala-after-husband-was-deported-2,"Jul 30, 2026"
,"Jul 27, 2026",Jul 30,,,,PBS NewsHour,"How views on Trump's handling of Iran have shifted, according to this poll",https://www.pbs.org/newshour/politics/how-views-on-trumps-handling-of-iran-have-shifted-according-to-this-poll,"Jul 30, 2026"
,"Jul 27, 2026",Jul 31,,,,Politico,"FCC chair Brendan Carr on Trump, free speech and his threats against broadcasters",https://www.politico.com/video/2026/07/30/fcc-chair-brendan-carr-on-trump-free-speech-and-his-threats-against-broadcasters-2124559,"Jul 31, 2026"
,"Jul 27, 2026",Jul 31,,,,NBC News,"Trump defends ‘anti-weaponization’ fund, further complicating Blanche nomination",https://www.nbcnews.com/politics/donald-trump/trump-defends-anti-weaponization-fund-complicating-blanche-nomination-rcna590254,"Jul 31, 2026"
Y,"Jul 27, 2026",Jul 31,,,,NBC News,Trump appeals ruling that found his $10B IRS suit aimed to ‘manipulate’ legal proceedings,https://www.nbcnews.com/politics/donald-trump/appeals-ruling-found-10-billion-irs-suit-aimed-manipulate-legal-rcna590307,"Jul 31, 2026"
