include,week_of,dates,category,event,impact,outlet,srcdesc,url,srcdate
,"Aug 10, 2026",Aug 10,,,,Politico,White House officials tamped down efforts to oust Max Miller in final days,https://www.politico.com/news/2026/08/10/white-house-max-miller-pressure-campaign-01031353,"Aug 10, 2026"
,"Aug 10, 2026",Aug 10,,,,The Guardian,Rebecca Solnit on Andrew Tate and Trump’s misogyny – Stateside with Kai and Carter,https://www.theguardian.com/us-news/video/2026/aug/10/rebecca-solnit-andrew-tate-trump-misogyny-stateside-podcast,"Aug 10, 2026"
,"Aug 10, 2026",Aug 10,,,,ABC News,Trump announces staff secretary Will Scharf will be his new White House counsel,https://abcnews.com/Politics/wireStory/trump-announces-staff-secretary-scharf-new-white-house-135505179,"Aug 10, 2026"
,"Aug 10, 2026",Aug 10,,,,ABC News,Trump's immigration crackdown looms over Minnesota's bruising Senate primary,https://abcnews.com/Politics/wireStory/trumps-immigration-crackdown-looms-minnesotas-bruising-senate-primary-135500626,"Aug 10, 2026"
,"Aug 10, 2026",Aug 11,,,,ABC News,Medicaid will stop paying for some gender-affirming care for transgender minors,https://abcnews.com/Politics/wireStory/medicaid-stop-paying-gender-affirming-care-transgender-minors-135559574,"Aug 11, 2026"
,"Aug 10, 2026",Aug 11,,,,ABC News,Wisconsin and Minnesota primaries next to feature progressive clash with Democratic establishment,https://abcnews.com/Politics/wireStory/wisconsin-minnesota-primaries-feature-progressive-clash-democratic-establishment-135508190,"Aug 11, 2026"
,"Aug 10, 2026",Aug 12,,,,NBC News,3 takeaways from David Crowley’s comeback: From the Politics Desk,https://www.nbcnews.com/politics/politics-news/3-takeaways-david-crowleys-comeback-politics-desk-rcna592208,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,NBC News,White House press secretary Karoline Leavitt to step down,https://www.nbcnews.com/politics/white-house/press-secretary-karoline-leavitt-step-down-end-of-august-rcna592223,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,NBC News,Extremism expert charged in case on Southern Poverty Law Center informants,https://www.nbcnews.com/politics/justice-department/extremism-expert-charged-case-targeting-southern-poverty-law-centers-u-rcna592198,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,NBC News,Minnesota GOP picks Lisa Demuth over Trump-backed Mike Lindell for governor against Democrat Amy Klobuchar,https://www.nbcnews.com/politics/2026-election/minnesota-gop-picks-lisa-demuth-trump-backed-mike-lindell-governor-dem-rcna591630,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,NBC News,Trump says security threat spurred secret plane swap in Turkey,https://www.nbcnews.com/politics/donald-trump/president-says-security-threat-spurred-secret-plane-swap-turkey-rcna592053,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,CBS News,11 charged for alleged sham marriages to help Chinese nationals get green cards,https://www.cbsnews.com/news/chinese-nationals-charged-alleged-sham-marriage-scheme/,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,CBS News,8/12: The Takeout with Major Garrett,https://www.cbsnews.com/video/081226-the-takeout-with-major-garrett/,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,ABC News,David Crowley's razor-thin Wisconsin primary win sets up match against Trump pick,https://abcnews.com/Politics/wireStory/david-crowleys-razor-thin-wisconsin-primary-win-sets-135580402,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,ABC News,6 must-watch matchups that could play key role in setting the 2026 College Football Playoff field,https://abcnews.com/Politics/wireStory/6-watch-matchups-play-key-role-setting-2026-135570978,"Aug 12, 2026"
,"Aug 10, 2026",Aug 12,,,,ABC News,November matchup set for Alabama US House district Republicans redrew in effort to keep majority,https://abcnews.com/Politics/wireStory/november-matchup-set-alabama-us-house-district-republicans-135536004,"Aug 12, 2026"
,"Aug 10, 2026",Aug 13,,,,NBC News,Appeals court dodges major ruling on Trump’s contentious use of obscure deportation law,https://www.nbcnews.com/politics/immigration/appeals-court-trump-alien-enemies-act-tren-de-aragua-venezuela-rcna592435,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,NBC News,Kennedy Center board votes to add president’s name again — and throw in a ‘Trump Plaza’,https://www.nbcnews.com/politics/trump-administration/kennedy-center-board-votes-partially-close-arts-center-renovations-add-rcna592355,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,NBC News,Haitians in Ohio who lost protected status get ankle monitors instead of ICE detention,https://www.nbcnews.com/politics/immigration/haitians-ohio-lost-protected-status-get-ankle-monitors-instead-ice-det-rcna591989,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,NBC News,Judge dismisses Trump admin lawsuit alleging Harvard failed to protect Jewish students,https://www.nbcnews.com/politics/trump-administration/judge-dismisses-trump-lawsuit-harvard-antisemitism-rcna592379,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,CBS News,Kennedy Center board votes to restore Trump's name on building,https://www.cbsnews.com/news/kennedy-center-board-votes-trump-name-joyce-beatty/,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,CBS News,Mostly-Trump-appointed board votes to restore his name on the Kennedy Center,https://www.cbsnews.com/video/mostly-trump-appointed-board-votes-restore-name-kennedy-center/,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,CBS News,Trump's secret plane switch took place within a day of credible missile threat,https://www.cbsnews.com/news/trump-secret-air-force-one-switch-iran-missile-threat/,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,CBS News,Trump administration's antisemitism lawsuit against Harvard dismissed,https://www.cbsnews.com/news/harvard-antisemitism-lawsuit-dismissed-trump-administration/,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,CBS News,"DOJ leaves in place ruling that deregulates silencers, shotguns",https://www.cbsnews.com/news/justice-dept-silencer-shotgun-texas-ruling/,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,CBS News,"Trump says U.S. has ""total control"" over Strait of Hormuz",https://www.cbsnews.com/live-updates/iran-war-us-donald-trump-strait-hormuz-traffic-falls-houthis-kill-red-sea/,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,CBS News,ICE plans to give officers gloves that can deliver electric shocks,https://www.cbsnews.com/news/ice-officers-gloves-electric-shocks/,"Aug 13, 2026"
,"Aug 10, 2026",Aug 13,,,,ABC News,Judge will hear whether Tates should stay in custody as they fight extradition,https://abcnews.com/Politics/wireStory/judge-hear-tate-brothers-stay-custody-fight-extradition-135600883,"Aug 13, 2026"
