include,week_of,dates,category,event,impact,outlet,srcdesc,url,srcdate
,"Aug 3, 2026",Aug 6,,,,PBS NewsHour,The major changes Head Start faces under Trump proposal,https://www.pbs.org/newshour/show/a-look-at-the-major-changes-head-start-faces-under-trump-proposal,"Aug 6, 2026"
,"Aug 3, 2026",Aug 7,,,,Politico,GOP Rep. Andy Ogles ousted in Tennessee primary,https://www.politico.com/news/2026/08/06/ogles-loses-tennessee-house-primary-01028492,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,NBC News,Trump says he’ll appeal decision halting ballroom construction to the Supreme Court,https://www.nbcnews.com/politics/white-house/appeals-court-blocks-trump-ballroom-construction-rcna591376,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,NBC News,Sen. Marsha Blackburn wins the Republican primary for governor of Tennessee,https://www.nbcnews.com/politics/2026-election/sen-marsha-blackburn-wins-republican-primary-governor-tennessee-rcna591184,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,The Guardian,Trump is laying waste to the agency that keeps hospital patients safe | Robert B Shpiner,https://www.theguardian.com/commentisfree/2026/aug/07/trump-healthcare-hospital-quality-patient-safety,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,The Guardian,"With their assault on science, Trumpists aren’t just harming America – they’re harming themselves | Jan-Werner Müller",https://www.theguardian.com/commentisfree/2026/aug/07/trump-scientific-research-universities,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,The Guardian,‘It didn’t need to end this way’: mother of US teen trafficked and killed decries police failures,https://www.theguardian.com/us-news/2026/aug/07/kristen-galvan-houston-family,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,The Guardian,Meet the army of amateur archivists racing to save US history in national parks,https://www.theguardian.com/us-news/ng-interactive/2026/aug/07/national-park-trump-administration-censorship,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,The Guardian,Trump unbound: the making of an imperial presidency | Politics Weekly America,https://www.theguardian.com/politics/video/2026/aug/07/trump-unbound-the-making-of-an-imperial-presidency-politics-weekly-america,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,Texas parents sue to block mandatory display of Ten Commandments in school classrooms,https://www.cbsnews.com/video/texas-parents-sue-to-block-mandatory-display-of-ten-commandments-in-school-classrooms/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,Trump-endorsed Rep. Andy Ogles projected to lose GOP primary in Tennessee,https://www.cbsnews.com/news/trump-endorsed-rep-andy-ogles-loses-gop-primary-in-tennessee-charlie-hatcher/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,Acting AG Todd Blanche likely to be confirmed by Senate after new endorsement,https://www.cbsnews.com/video/acting-ag-todd-blanche-likely-to-be-confirmed-by-senate-after-new-endorsement/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,"U.S. targets Iran's banking system, companies with new sanctions",https://www.cbsnews.com/news/u-s-treasury-sanctions-iran-banking-system-trump/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,"From Iran's Evin Prison, U.S. citizen Reza Valizadeh releases audio update",https://www.cbsnews.com/news/iran-evin-prison-us-citizen-reza-valizadeh-conditions/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,8/7: CBS Evening News,https://www.cbsnews.com/video/080726-cbs-evening-news/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,"Appeals court blocks Trump's White House ballroom, teeing up Supreme Court fight",https://www.cbsnews.com/news/white-house-ballroom-trump-appeals-court/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,"DOJ's top prosecutor in LA hires aide with pending battery charge, DUIs",https://www.cbsnews.com/news/doj-prosecutor-bill-essayli-la-california-aide-battery-charge-duis/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,Trump mounts new effort to fire Fed's Lisa Cook after Supreme Court ruling,https://www.cbsnews.com/news/lisa-cook-trump-fed-board-firing/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,Warren presses U.S. companies to share tariff refunds with customers,https://www.cbsnews.com/news/elizabeth-warren-tariff-refunds-ieepa/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,CBS News,Trump's firings of federal officials set stage for next presidential power test,https://www.cbsnews.com/news/trump-firings-federal-workers-presidential-power/,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,ABC News,Justice Samuel Alito confirms he's staying on the Supreme Court for another term,https://abcnews.com/Politics/wireStory/justice-samuel-alito-confirms-staying-supreme-court-term-135470106,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,ABC News,Fired federal prosecutor sues Justice Department,https://abcnews.com/Politics/wireStory/fired-federal-prosecutor-sues-justice-department-135468603,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,ABC News,US Senate adds Missouri to the list of teams with a claim to college football's 1960 national title,https://abcnews.com/Politics/wireStory/us-senate-adds-missouri-list-teams-claim-college-135467785,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,ABC News,'I’m very good at grass.' Why Trump goes into the weeds on one of his favorite topics,https://abcnews.com/Politics/wireStory/im-good-grass-trump-weeds-favorite-topics-135446711,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,ABC News,Trump celebrates US Winter Olympians and Paralympians at the White House,https://abcnews.com/Politics/wireStory/trump-celebrates-us-winter-olympians-paralympians-white-house-135443358,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,"ICE will only release body camera video when in agency's 'best interests,' policy says",https://www.pbs.org/newshour/nation/ice-will-only-release-body-camera-video-when-in-agencys-best-interests-policy-says,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,Colombia's new president reflects Latin America's right-wing shift,https://www.pbs.org/newshour/show/colombias-new-president-reflects-latin-americas-right-wing-shift,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,Brooks and Capehart on what progressive primary wins mean for Democrats,https://www.pbs.org/newshour/show/brooks-and-capehart-on-what-progressive-primary-wins-mean-for-democrats,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,Senate confirms Cameron Hamilton to lead FEMA and clears 73 other Trump nominees,https://www.pbs.org/newshour/politics/senate-confirms-cameron-hamilton-to-lead-fema-and-clears-73-other-trump-nominees,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,Trump administration proceeds with efforts to fire Federal Reserve governor Lisa Cook,https://www.pbs.org/newshour/politics/trump-administration-proceeds-with-efforts-to-fire-federal-reserve-governor-lisa-cook,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,Appeals court rules Trump can't build White House ballroom without congressional approval,https://www.pbs.org/newshour/politics/appeals-court-rules-trump-cant-build-white-house-ballroom-without-congressional-approval,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,Will Mississippi send a Black Democrat to the US Senate? Scott Colom says don't count him out,https://www.pbs.org/newshour/politics/will-mississippi-send-a-black-democrat-to-the-us-senate-scott-colom-says-dont-count-him-out,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,A deal with Iran over the Strait of Hormuz may require a compromise from Trump,https://www.pbs.org/newshour/world/a-deal-with-iran-over-the-strait-of-hormuz-may-require-a-compromise-from-trump,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,'I'm very good at grass.' Why Trump goes into the weeds on one of his favorite topics,https://www.pbs.org/newshour/politics/im-very-good-at-grass-why-trump-goes-into-the-weeds-on-one-of-his-favorite-topics,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,WATCH: Sen. Cassidy says he'll vote to confirm Todd Blanche for attorney general,https://www.pbs.org/newshour/politics/watch-sen-cassidy-says-hell-vote-to-confirm-todd-blanche-for-attorney-general,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,"Tennessee voters oust Trump-backed congressman, set fall matchup for redrawn Memphis-area House seat",https://www.pbs.org/newshour/politics/tennessee-voters-oust-trump-backed-congressman-set-fall-matchup-for-redrawn-memphis-area-house-seat,"Aug 7, 2026"
,"Aug 3, 2026",Aug 7,,,,PBS NewsHour,Blanche's attorney general confirmation is in doubt as GOP Sen. Murkowski opposes his nomination,https://www.pbs.org/newshour/politics/blanches-attorney-general-confirmation-is-in-doubt-as-gop-sen-murkowski-opposes-his-nomination,"Aug 7, 2026"
,"Aug 3, 2026",Aug 8,,,,NPR,GOP-controlled Senate delivers win for Trump with Blanche confirmation,https://www.npr.org/2026/08/08/nx-s1-5925869/gop-controlled-senate-delivers-win-for-trump-with-blanche-confirmation,"Aug 8, 2026"
,"Aug 3, 2026",Aug 8,,,,NPR,Minnesota GOP divided over Mike Lindell's potential gubernatorial nomination,https://www.npr.org/2026/08/08/nx-s1-5923906/minnesota-gop-divided-over-mike-lindells-potential-gubernatorial-nomination,"Aug 8, 2026"
