include,week_of,dates,category,event,impact,outlet,srcdesc,url,srcdate
,"Aug 3, 2026",Aug 3,,,,Politico,Michigan’s GOP governor primary is getting weird,https://www.politico.com/news/2026/08/03/michigans-gop-governor-primary-john-james-01020176,"Aug 3, 2026"
,"Aug 3, 2026",Aug 3,,,,The Guardian,Mamdani won New York. Can a progressive win the Michigan primary? – Stateside with Kai and Carter,https://www.theguardian.com/us-news/video/2026/aug/03/michigan-progressive-primary-candidate-stateside-podcast,"Aug 3, 2026"
,"Aug 3, 2026",Aug 3,,,,ABC News,States sue to block feds from sharing personal data of millions who receive social service benefits,https://abcnews.com/Politics/wireStory/states-sue-block-feds-sharing-personal-data-millions-135335305,"Aug 3, 2026"
,"Aug 3, 2026",Aug 4,,,,Politico,Pete Buttigieg shares his theory for how Democrats can win over cherry ice cream,https://www.politico.com/video/2026/08/04/pete-buttigieg-shares-his-theory-for-how-democrats-can-win-over-cherry-ice-cream-2125614,"Aug 4, 2026"
,"Aug 3, 2026",Aug 4,,,,ABC News,Wisconsin judge rules that paper absentee ballots violate rights of certain disabled people,https://abcnews.com/Politics/wireStory/wisconsin-judge-rules-paper-absentee-ballots-violate-rights-135364480,"Aug 4, 2026"
,"Aug 3, 2026",Aug 5,,,,Politico,"Anti-Trump conservatives Tucker Carlson, MTG, Massie huddle about launching third-party movement",https://www.politico.com/news/2026/08/05/tucker-carlson-mtg-thomas-massie-joe-kent-trump-01025860,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,Politico,Trump-backed candidate in battleground Michigan district loses to opponent who dropped out,https://www.politico.com/news/2026/08/05/hassan-loses-michigan-house-primary-tom-smith-01025316,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,Politico,Progressives didn’t get the big election night they wanted,https://www.politico.com/news/2026/08/05/michigan-senate-primary-progressives-unclear-01025096,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,NBC News,Progressives had another big primary night — with a notable exception: From the Politics Desk,https://www.nbcnews.com/politics/politics-news/progressives-another-big-primary-night-notable-exception-politics-desk-rcna591046,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,NBC News,"New CDC director is confirmed, giving agency its first permanent leader in a year",https://www.nbcnews.com/health/health-news/new-cdc-director-confirmed-erica-shwartz-rcna590994,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,NBC News,Rep. Chuck Edwards drops re-election bid after censure recommendation over harassment claims,https://www.nbcnews.com/politics/politics-news/rep-chuck-edwards-drops-re-election-bid-censure-sexual-harassment-rcna590919,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,NBC News,Candidate who dropped out beats Trump’s pick in a battleground GOP House primary,https://www.nbcnews.com/politics/2026-election/candidate-dropped-beats-trumps-pick-battleground-gop-house-primary-rcna590905,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,NBC News,"Abdul El-Sayed wins Democratic Senate primary in Michigan, a big victory for the left in a key race",https://www.nbcnews.com/politics/2026-election/abdul-el-sayed-wins-michigans-democratic-senate-primary-notching-midwe-rcna589750,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,The Guardian,Three key takeaways from Michigan's Democratic Senate primary – video explainer,https://www.theguardian.com/us-news/video/2026/aug/05/michigan-democratic-senate-primary-video-explainer,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,ABC News,Empty pews and fear of ICE on Maryland’s Eastern Shore after TPS ends for Haitians,https://abcnews.com/Politics/wireStory/empty-pews-fear-ice-marylands-eastern-shore-after-135382907,"Aug 5, 2026"
,"Aug 3, 2026",Aug 5,,,,ABC News,Takeaways from Tuesday's elections: Democrats' division on display in Michigan Senate race,https://abcnews.com/Politics/wireStory/watch-aug-4-primaries-michigan-senate-race-tests-135343896,"Aug 5, 2026"
,"Aug 3, 2026",Aug 6,,,,Politico,"Dasha Burns presses Mike Johnson on the economy, Iran and Trump's agenda",https://www.politico.com/video/2026/08/06/dasha-burns-presses-mike-johnson-on-the-economy-iran-and-trumps-agenda-2126613,"Aug 6, 2026"
,"Aug 3, 2026",Aug 6,,,,NBC News,Ohio Rep. Max Miller faces a growing number of calls to resign from fellow Republicans,https://www.nbcnews.com/politics/congress/ohio-max-miller-calls-resign-republicans-moreno-abuse-allegations-rcna591199,"Aug 6, 2026"
,"Aug 3, 2026",Aug 6,,,,NBC News,"IRS workers group joins Jan. 6 ‘slush fund’ suit, seeking to block Trump audit carve-out",https://www.nbcnews.com/politics/justice-department/irs-workers-group-joins-jan-6-slush-fund-suit-seeking-block-trump-audi-rcna591217,"Aug 6, 2026"
,"Aug 3, 2026",Aug 6,,,,The Guardian,The American left is making strides. But can they win in November? | Ben Davis,https://www.theguardian.com/commentisfree/2026/aug/06/democrats-midterms-general-election,"Aug 6, 2026"
,"Aug 3, 2026",Aug 6,,,,ABC News,New Tennessee congressional map making its debut in the state's primary,https://abcnews.com/Politics/wireStory/new-tennessee-congressional-map-splits-memphis-making-debut-135412066,"Aug 6, 2026"
